ID,Temp_Max_Avg_VEG,Temp_Min_Avg_VEG,Temp_Avg_VEG,Diurnal_Range_Avg_VEG,Sol_Ener_Accu_VEG,Temp_Max_34_Freq_VEG,Rain_Accu_VEG,Rain_10_Freq_VEG,Temp_Min_15_Freq_VEG,Temp_Max_Avg_REP,Temp_Min_Avg_REP,Temp_Avg_REP,Diurnal_Range_Avg_REP,Sol_Ener_Accu_REP,Temp_Max_34_Freq_REP,Rain_Accu_REP,Rain_10_Freq_REP,Temp_Min_15_Freq_REP,Temp_Max_Avg_LLEN,Temp_Min_Avg_LLEN,Temp_Avg_LLEN,Diurnal_Range_Avg_LLEN,Sol_Ener_Accu_LLEN,Temp_Max_34_Freq_LLEN,Rain_Accu_LLEN,Rain_10_Freq_LLEN,Temp_Min_15_Freq_LLEN,VARIEDAD,RENDIMIENTO_HA
RC11_2014_92,32.96521739,24.0173913,28.49130435,8.947826087,18558.44268,0.152173913,46.2,0.043478261,0,32.92272727,24.23181818,28.57727273,8.690909091,20264.47374,0.204545455,0,0,0,33.04324324,24.6,28.82162162,8.443243243,14872.71233,0.135135135,0,0,0,F2000,6100
RC11_2014_126,32.92608696,24.06521739,28.49565217,8.860869565,18426.00139,0.152173913,46.2,0.043478261,0,33.04090909,24.12727273,28.58409091,8.913636364,20577.95058,0.227272727,0,0,0,33.08108108,24.64864865,28.86486486,8.432432432,14886.25038,0.162162162,0,0,0,F2000,5000
RC11_2014_79,32.92608696,24.06521739,28.49565217,8.860869565,18426.00139,0.152173913,46.2,0.043478261,0,33.04090909,24.12727273,28.58409091,8.913636364,20577.95058,0.227272727,0,0,0,33.08108108,24.64864865,28.86486486,8.432432432,14886.25038,0.162162162,0,0,0,F2000,5300
RC11_2014_13,32.89565217,24.06086957,28.47826087,8.834782609,18472.33124,0.152173913,32.2,0.02173913,0,33.07727273,24.12727273,28.60227273,8.95,20601.44413,0.227272727,0,0,0,33.03783784,24.66486486,28.85135135,8.372972973,14939.84495,0.162162162,0,0,0,F2000,6000
RC11_2014_91,32.89565217,24.06086957,28.47826087,8.834782609,18472.33124,0.152173913,32.2,0.02173913,0,33.07727273,24.12727273,28.60227273,8.95,20601.44413,0.227272727,0,0,0,33.03783784,24.66486486,28.85135135,8.372972973,14939.84495,0.162162162,0,0,0,F2000,6400
RC11_2014_19,32.89565217,24.06086957,28.47826087,8.834782609,18472.33124,0.152173913,32.2,0.02173913,0,33.07727273,24.12727273,28.60227273,8.95,20601.44413,0.227272727,0,0,0,33.03783784,24.66486486,28.85135135,8.372972973,14939.84495,0.162162162,0,0,0,F2000,7400
RC11_2014_34,32.96086957,24.04782609,28.50434783,8.913043478,18649.78791,0.152173913,27.3,0.02173913,0,33.08181818,24.15,28.61590909,8.931818182,20601.2963,0.25,0,0,0,32.97297297,24.68648649,28.82972973,8.286486486,14911.55501,0.135135135,0,0,0,F2000,7600
RC11_2014_49,33.06086957,24.02608696,28.54347826,9.034782609,18938.42143,0.173913043,27.3,0.02173913,0,33.06363636,24.17272727,28.61818182,8.890909091,20547.81632,0.227272727,0,0,0,32.98378378,24.68108108,28.83243243,8.302702703,14974.31021,0.162162162,0,0,0,F2000,6300
RC11_2014_93,33.06086957,24.02608696,28.54347826,9.034782609,18938.42143,0.173913043,27.3,0.02173913,0,33.06363636,24.17272727,28.61818182,8.890909091,20547.81632,0.227272727,0,0,0,32.98378378,24.68108108,28.83243243,8.302702703,14974.31021,0.162162162,0,0,0,F2000,7200
RC11_2014_36,33.06086957,24.02608696,28.54347826,9.034782609,18938.42143,0.173913043,27.3,0.02173913,0,33.06363636,24.17272727,28.61818182,8.890909091,20547.81632,0.227272727,0,0,0,32.98378378,24.68108108,28.83243243,8.302702703,14974.31021,0.162162162,0,0,0,F2000,7200
